Target Value,"Knapsack (3, 11, 23)",Total Coins,Execution Time (µs),Combination,Satisfiability
96,"[8, 2, 0]",10,604.8679351806641,[],Unsatisfiable
138,"[7, 2, 1]",10,599.8611450195312,[],Unsatisfiable
74,"[5, 1, 4]",10,599.8611450195312,[],Unsatisfiable
42,"[6, 1, 3]",10,599.8611450195312,[],Unsatisfiable
98,"[2, 7, 1]",10,598.1922149658203,[],Unsatisfiable
94,"[7, 3, 0]",10,602.72216796875,[],Unsatisfiable
102,"[4, 2, 5]",11,1309.1564178466797,[],Unsatisfiable
151,"[1, 5, 5]",11,1319.88525390625,"[3, 11, 11, 11, 23, 23, 23, 23, 23]",Satisfiable
22,"[11, 0, 0]",11,1302.0038604736328,[],Unsatisfiable
136,"[7, 4, 0]",11,1259.8037719726562,[],Unsatisfiable
186,"[4, 5, 2]",11,1245.0218200683594,[],Unsatisfiable
157,"[7, 0, 4]",11,1255.9890747070312,[],Unsatisfiable
140,"[10, 1, 0]",11,1243.1144714355469,[],Unsatisfiable
40,"[4, 1, 6]",11,1130.819320678711,"[3, 3, 11, 23]",Satisfiable
146,"[11, 0, 0]",11,1235.9619140625,[],Unsatisfiable
48,"[10, 0, 1]",11,1246.9291687011719,[],Unsatisfiable
105,"[9, 2, 0]",11,1235.0082397460938,[],Unsatisfiable
129,"[10, 0, 1]",11,1225.9483337402344,[],Unsatisfiable
104,"[11, 0, 0]",11,1228.0941009521484,[],Unsatisfiable
119,"[8, 0, 3]",11,1226.186752319336,[],Unsatisfiable
79,"[5, 6, 0]",11,1230.001449584961,[],Unsatisfiable
54,"[6, 0, 5]",11,1221.8952178955078,[],Unsatisfiable
98,"[9, 2, 0]",11,1224.9946594238281,[],Unsatisfiable
23,"[4, 1, 6]",11,1107.931137084961,"[3, 3, 3, 3, 11]",Satisfiable
25,"[1, 3, 7]",11,1094.1028594970703,"[3, 11, 11]",Satisfiable
147,"[2, 5, 4]",11,1214.9810791015625,"[11, 11, 11, 11, 11, 23, 23, 23, 23]",Satisfiable
99,"[9, 2, 0]",11,1215.9347534179688,[],Unsatisfiable
124,"[10, 0, 1]",11,1226.9020080566406,[],Unsatisfiable
31,"[4, 5, 2]",11,1116.7526245117188,"[3, 3, 3, 11, 11]",Satisfiable
82,"[11, 0, 0]",11,1200.1991271972656,[],Unsatisfiable
142,"[6, 0, 5]",11,1186.1324310302734,[],Unsatisfiable
193,"[4, 7, 0]",11,1190.9008026123047,[],Unsatisfiable
143,"[1, 6, 4]",11,1181.8408966064453,[],Unsatisfiable
132,"[10, 0, 1]",11,1288.8908386230469,[],Unsatisfiable
